nama_kos,kecamatan,harga_sewa,k_kamar_mandi,WiFi,AC,akses_24_jam,
"Kost Singgahsini Griya Aboudi UII Kaliurang Yogyakarta
 
Kecamatan Ngaglik",Ngaglik,1397000,K. Mandi Dalam,·WiFi,AC,Akses 24 Jam ,
"Kost Putra Muslim Alkidian Ngemplak Sleman
 
Ngemplak",Ngemplak,800000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Dekost Candi 88 Jalan Kaliurang 12 Ngaglik Sleman
 
Ngaglik",Ngaglik,800000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Colin De Jia Sleman Yogyakarta
 
Ngaglik",Ngaglik,1400000,K. Mandi Dalam,·WiFi,AC,Akses 24 Jam,
"Kost Eksklusif Orion Tipe A Ngaglik Sleman
 
Ngaglik",Ngaglik,1500000,K. Mandi Dalam,·WiFi,AC,Akses 24 Jam,
"Kost Haramain Tipe A Ngaglik Sleman
 
Ngaglik",Ngaglik,750000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Prima Dewi Tipe A Ngaglik Sleman
 
Ngaglik",Ngaglik,600000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Hijau Valencia Ngaglik Sleman
 
Ngaglik",Ngaglik,600000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Pawon Candi Ngaglik Sleman
 
Ngaglik",Ngaglik,1400000,K. Mandi Dalam,·WiFi,AC,Akses 24 Jam,
"Kost Dekt Kampus UII Jl Kaliurang Ngaglik Sleman
 
Ngaglik",Ngaglik,800000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Muslim Alkidian Ngemplak Sleman
 
Ngemplak",Ngemplak,800000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Wasiyo Ngaglik Sleman 
 
Ngaglik",Ngaglik,700000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Rumah Adinda Tipe A Ngaglik Sleman
 
Ngaglik",Ngaglik,1900000,K. Mandi Dalam,·WiFi,AC,Akses 24 Jam,
"Kost Putra Pak Arif 1 Ngaglik Sleman
 
Ngaglik",Ngaglik,500000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Den Bagus Ngemplak Sleman
 
Ngemplak",Ngemplak,700000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Argi Dorm Ngaglik Sleman
 
Ngaglik",Ngaglik,800000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Pendekar Ngemplak Sleman
 
Ngemplak",Ngemplak,1700000,K. Mandi Dalam,·WiFi,AC,Akses 24 Jam,
"Kost Griya Noer 2 Ngaglik Sleman
 
Kecamatan Ngaglik",Ngaglik,1500000,K. Mandi Dalam,·WiFi,AC,Akses 24 Jam,
"Kost Mubarok Ngaglik Sleman
 
Kecamatan Ngaglik",Ngaglik,1250000,K. Mandi Dalam,·WiFi,AC,Akses 24 Jam,
"Kost Indira 2 Ngemplak Sleman
 
Ngemplak",Ngemplak,750000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Akasia Tipe B Umbulmartani Ngemplak Sleman
 
Ngemplak",Ngemplak,550000,K. Mandi Dalam,·Kasur,Tidak AC,Akses 24 Jam,
"Kost Akasia Tipe A Umbulmartani Ngemplak Sleman
 
Ngemplak",Ngemplak,500000,K. Mandi Dalam,·Kasur,Tidak AC,Akses 24 Jam,
"Kost Jl Candi Winangun  Tipe A Ngaglik Sleman
 
Ngaglik",Ngaglik,800000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost UII Wisma Citrakusuma
 
Ngaglik",Ngaglik,900000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Darul Fataa UII Ngaglik Sleman
 
Kecamatan Ngaglik",Ngaglik,630000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Arafat Sleman Yogyakarta
 
Kecamatan Ngemplak",Ngemplak,800000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Seno Tipe B Ngaglik Sleman
 
Ngaglik",Ngaglik,1500000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Rumah Adinda Tipe B  Ngaglik Sleman
 
Ngaglik",Ngaglik,2000000,K. Mandi Dalam,·WiFi,Tidak AC,Akses 24 Jam,
"Kost Bu ikem Tipe C Ngemplak Sleman
 
Ngemplak",Ngemplak,470000,K. Mandi Dalam,Tidak WiFi,Tidak AC,Akses 24 Jam,
"Kost Tukimin Tipe B Ngemplak Sleman
 
Ngemplak",Ngemplak,460000,K. Mandi Dalam,Tidak WiFi,Tidak AC,Akses 24 Jam,
"Kost Galang Ngaglik Sleman Yogyakarta
 
Ngaglik",Ngaglik,550000,K. Mandi Dalam,Tidak WiFi,Tidak AC,Akses 24 Jam,
"Kost K3 Tipe B Ngemplak Sleman
 
Ngemplak",Ngemplak,400000,K. Mandi Dalam,Tidak WiFi,Tidak AC,Akses 24 Jam,
